fecha_operacion,operacion,importe,operacion_limpia,tipo,año_mes,categoria,origen
2024-08-26,"en dulceria nublo, tejeda, . :*179057",6.2,en dulceria nublo tejeda,gasto,2024-08,Restauración,modelo
2024-08-26,"compra spotify p2ed7dbce3, stockholm, eta 5489010358179057 , comision 0,00",14.99,compra spotify peddbce stockholm eta comision,gasto,2024-08,Ocio / Suscripciones,manual
2024-08-26,"en piscina tejeda, las palmas, . :*179057",3.9,en piscina tejeda las palmas,gasto,2024-08,Transporte,modelo
2024-08-26,"en piscina tejeda, las palmas, . :*179057",8.0,en piscina tejeda las palmas,gasto,2024-08,Transporte,modelo
2024-08-26,"en boanva canarias, barranco de l, . :*179057",4.0,en boanva canarias barranco de l,gasto,2024-08,Restauración,manual
2024-08-26,"en picoteo s. migu, telde, . :*179057",9.9,en picoteo s migu telde,gasto,2024-08,Restauración,manual
2024-08-26,"compra internet en repsol waylet, madrid, . :*179057",28.69,compra internet en repsol waylet madrid,gasto,2024-08,Transporte,manual
2024-08-26,"en lidl can-gc-tel, llanos de la, . :*179057",47.4,en lidl can gc tel llanos de la,gasto,2024-08,Supermercado,manual
2024-08-26,bizum a favor de debora vega ravelo concepto: sin concepto,10.0,bizum a favor de debora vega ravelo concepto sin concepto,gasto,2024-08,Transferencia personal,manual
2024-08-23,"compra apple.com/bill, 900812703, eta 5489010358179057 , comision 0,00",5.99,compra apple com bill eta comision,gasto,2024-08,Ocio / Suscripciones,manual
2024-08-23,"transferencia de evelymar bastidas rosario, concepto telefono agosto &#43; 0,8eur del seguro",15.08,transferencia de evelymar bastidas rosario concepto telefono agosto &# eur del seguro,ingreso,2024-08,Ingreso,manual
2024-08-23,"transferencia de evelymar bastidas rosario, concepto seguro salud agosto",74.33,transferencia de evelymar bastidas rosario concepto seguro salud agosto,ingreso,2024-08,Ingreso,manual
2024-08-23,"transferencia de trade republic bank gmbh, concepto tu retirada de la cuenta de compensacion de trad",180.0,transferencia de trade republic bank gmbh concepto tu retirada de la cuenta de compensacion de trad,ingreso,2024-08,Ingreso,manual
2024-08-22,"compra apple.com/bill, 900812703, eta 5489010358179057 , comision 0,00",22.99,compra apple com bill eta comision,gasto,2024-08,Ocio / Suscripciones,manual
2024-08-22,bizum de debora vega ravelo concepto frena,85.0,bizum de debora vega ravelo concepto frena,ingreso,2024-08,Ingreso,manual
2024-08-22,bizum a favor de juan ayoze gonzalez perez concepto: frenos debora,85.6,bizum a favor de juan ayoze gonzalez perez concepto frenos debora,gasto,2024-08,Transferencia personal,manual
2024-08-22,"pago recibo de ay. las palmas gran canaria, referencia 240254324531",59.4,pago recibo de ay las palmas gran canaria referencia,gasto,2024-08,Facturas,manual
2024-08-22,"pago recibo de ay. las palmas gran canaria, referencia 240254324350",59.4,pago recibo de ay las palmas gran canaria referencia,gasto,2024-08,Facturas,manual
2024-08-22,"pago recibo de ay. las palmas gran canaria, referencia 240254324259",59.4,pago recibo de ay las palmas gran canaria referencia,gasto,2024-08,Facturas,manual
2024-08-21,bizum a favor de debora vega ravelo concepto: ñam ñam ikea,10.0,bizum a favor de debora vega ravelo concepto ñam ñam ikea,gasto,2024-08,Transferencia personal,manual
2024-08-21,"en hd melenara, telde, . :*179057",61.87,en hd melenara telde,gasto,2024-08,Supermercado,modelo
2024-08-21,recibo gym canarias sl - fp telde - las terraza nº recibo 0049 6140 755 bbfxgns ref. mandato rumfic4,30.0,recibo gym canarias sl fp telde las terraza nº recibo bbfxgns ref mandato rumfic,gasto,2024-08,Facturas,manual
2024-08-20,"compra rockabilly venegas, las palmas de, eta 5489010358179057 , comision 0,00",36.1,compra rockabilly venegas las palmas de eta comision,gasto,2024-08,Restauración,modelo
2024-08-20,"en autos basso, s., telde, . :*179057",44.4,en autos basso s telde,gasto,2024-08,Supermercado,modelo
2024-08-20,"transferencia de trade republic bank gmbh, concepto tu retirada de la cuenta de compensacion de trad",60.0,transferencia de trade republic bank gmbh concepto tu retirada de la cuenta de compensacion de trad,ingreso,2024-08,Ingreso,manual
2024-08-19,transferencia a favor de brisa psicologos concepto: oscar gomez bastidas,60.0,transferencia a favor de brisa psicologos concepto oscar gomez bastidas,gasto,2024-08,Transferencia personal,manual
2024-08-19,"en el roque, telde, . :*179057",1.7,en el roque telde,gasto,2024-08,Supermercado,modelo
2024-08-19,reintegro contra cuenta en atm 004901520010 el 18/08/2024 a las 19:15. .pan: 5489010358179057.,10.0,reintegro contra cuenta en atm el a las pan,gasto,2024-08,Ingreso,manual
2024-08-19,"en hi bubble tea 1, las palmas de, . :*179057",4.5,en hi bubble tea las palmas de,gasto,2024-08,Restauración,modelo
2024-08-19,"en administracion, telde, . :*179057",1.5,en administracion telde,gasto,2024-08,Supermercado,modelo
2024-08-19,bizum a favor de lucia artiles sanchez concepto: cerveza,2.0,bizum a favor de lucia artiles sanchez concepto cerveza,gasto,2024-08,Transferencia personal,manual
2024-08-19,"en aparcamiento ac, palmas (las), . :*179057",1.2,en aparcamiento ac palmas las,gasto,2024-08,Restauración,modelo
2024-08-19,"transaccion contactless en camaleon cubata, las palmas de, . :*179057",5.0,transaccion contactless en camaleon cubata las palmas de,gasto,2024-08,Restauración,manual
2024-08-16,"en mercadona las t, hornos del re, . :*179057",2.8,en mercadona las t hornos del re,gasto,2024-08,Supermercado,manual
2024-08-16,"compra internet en repsol waylet, madrid, . :*179057",29.06,compra internet en repsol waylet madrid,gasto,2024-08,Transporte,manual
2024-08-16,"recibo vodafone factura: yj24-001268100/ nº recibo 0049 6140 755 bbfxfkl ref. mandato 0111207734, de",74.17,recibo vodafone factura yj nº recibo bbfxfkl ref mandato de,gasto,2024-08,Facturas,manual
2024-08-14,"en leroy merlin te, telde, . :*179057",24.96,en leroy merlin te telde,gasto,2024-08,Compras no esenciales,manual
2024-08-14,"en cafe regina cc, las palmas de, . :*179057",3.4,en cafe regina cc las palmas de,gasto,2024-08,Restauración,modelo
2024-08-14,"en bk 28942 llano, barranco hond, . :*179057",19.92,en bk llano barranco hond,gasto,2024-08,Restauración,manual
2024-08-14,transferencia a favor de óscar gómez bastidas concepto: ahorro,600.0,transferencia a favor de óscar gómez bastidas concepto ahorro,gasto,2024-08,Gastos extraordinarios,manual
2024-08-14,"en kiwoko telde la, cruz de la ga, . :*179057",30.58,en kiwoko telde la cruz de la ga,gasto,2024-08,Compras no esenciales,manual
2024-08-14,"en mercadona las t, hornos del re, . :*179057",15.31,en mercadona las t hornos del re,gasto,2024-08,Supermercado,manual
2024-08-14,"transferencia de gonzalez perez juan ayoze, concepto compra de renault.",400.0,transferencia de gonzalez perez juan ayoze concepto compra de renault,ingreso,2024-08,Ingreso,manual
2024-08-13,"en disa valsequill, valsequillo (, . :*179057",21.9,en disa valsequill valsequillo,gasto,2024-08,Transporte,manual
2024-08-12,"en koala telde, telde, . :*179057",45.67,en koala telde telde,gasto,2024-08,Supermercado,modelo
2024-08-12,"en mercadona las t, hornos del re, . :*179057",15.74,en mercadona las t hornos del re,gasto,2024-08,Supermercado,manual
2024-08-12,"en las terrazas tp, telde, . :*179057",5.2,en las terrazas tp telde,gasto,2024-08,Supermercado,modelo
2024-08-12,"en heladeria quint, jinamar, . :*179057",5.1,en heladeria quint jinamar,gasto,2024-08,Restauración,manual
2024-08-12,"en 2834 tb metropo, madrid, . :*179057",20.13,en tb metropo madrid,gasto,2024-08,Restauración,manual
2024-08-12,"en picoteo casa ch, telde, . :*179057",23.7,en picoteo casa ch telde,gasto,2024-08,Restauración,manual
2024-08-12,bizum de debora vega ravelo concepto compra. tabaco vape y creo que ya,80.0,bizum de debora vega ravelo concepto compra tabaco vape y creo que ya,ingreso,2024-08,Ingreso,manual
2024-08-09,"en eliben parafarm, telde, . :*179057",21.95,en eliben parafarm telde,gasto,2024-08,Supermercado,modelo
2024-08-09,"en hd melenara, telde, . :*179057",98.35,en hd melenara telde,gasto,2024-08,Gastos extraordinarios,modelo
2024-08-09,transferencia a favor de sonora motor concepto: óscar gómez bastidas 54828544v,10400.0,transferencia a favor de sonora motor concepto óscar gómez bastidas v,gasto,2024-08,Gastos extraordinarios,manual
2024-08-09,disposición prestamo 0002741 143 a nombre de oscar alejandro gomez bastidas,8000.0,disposición prestamo a nombre de oscar alejandro gomez bastidas,ingreso,2024-08,Ingreso,modelo
2024-08-09,bizum a favor de francisco jose perez perez concepto: revision coche,20.0,bizum a favor de francisco jose perez perez concepto revision coche,gasto,2024-08,Transferencia personal,manual
2024-08-09,"transferencia de evelymar bastidas rosario, concepto contribucion compra de carro 2024",2500.0,transferencia de evelymar bastidas rosario concepto contribucion compra de carro,ingreso,2024-08,Ingreso,manual
2024-08-09,"compra internet en repsol waylet, madrid, . :*179057",11.0,compra internet en repsol waylet madrid,gasto,2024-08,Transporte,manual
2024-08-08,"compra playstation network, hilversum, eta 5489010358179057 , comision 0,00",13.99,compra playstation network hilversum eta comision,gasto,2024-08,Compras no esenciales,manual
2024-08-08,"recibo liberty seguros s.a. nº recibo 0049 6140 755 bbfwzpj ref. mandato 04z114013923, de",342.35,recibo liberty seguros s a nº recibo bbfwzpj ref mandato z de,gasto,2024-08,Gastos extraordinarios,manual
2024-08-07,"en media markt - t, jinamar, . :*179057",17.58,en media markt t jinamar,gasto,2024-08,Compras no esenciales,manual
2024-08-06,"en cafe regina cc, las palmas de, . :*179057",14.7,en cafe regina cc las palmas de,gasto,2024-08,Restauración,modelo
2024-08-05,"compra apple.com/bill, 900812703, eta 5489010358179057 , comision 0,00",8.99,compra apple com bill eta comision,gasto,2024-08,Ocio / Suscripciones,manual
2024-08-05,"en las terrazas tp, telde, . :*179057",13.85,en las terrazas tp telde,gasto,2024-08,Supermercado,modelo
2024-08-05,"en la mareta, telde, . :*179057",13.0,en la mareta telde,gasto,2024-08,Restauración,modelo
2024-08-05,"en el roque, telde, . :*179057",0.95,en el roque telde,gasto,2024-08,Supermercado,modelo
2024-08-05,"en lidl can-gc-tel, telde, . :*179057",47.76,en lidl can gc tel telde,gasto,2024-08,Supermercado,manual
2024-08-05,bizum de debora vega ravelo concepto gasolina y cosas varias,78.0,bizum de debora vega ravelo concepto gasolina y cosas varias,ingreso,2024-08,Ingreso,manual
2024-08-02,"en el roque, telde, . :*179057",15.9,en el roque telde,gasto,2024-08,Supermercado,modelo
2024-08-02,bizum a favor de eduvigis saavedra davila concepto: bocadillo,4.1,bizum a favor de eduvigis saavedra davila concepto bocadillo,gasto,2024-08,Transferencia personal,manual
2024-08-02,"en picoteo s. migu, telde, . :*179057",21.8,en picoteo s migu telde,gasto,2024-08,Restauración,manual
2024-08-01,"recibo sanitas s a de seguros nº recibo 0049 6140 755 bbfwmyq ref. mandato 800014242109, de",73.06,recibo sanitas s a de seguros nº recibo bbfwmyq ref mandato de,gasto,2024-08,Facturas,manual
2024-07-31,"en agroquimica jua, telde, . :*179057",11.0,en agroquimica jua telde,gasto,2024-07,Compras no esenciales,manual
2024-07-30,"compra uber * eats pending, amsterdam, eta 5489010358179057 , comision 0,00",16.8,compra uber eats pending amsterdam eta comision,gasto,2024-07,Restauración,manual
2024-07-30,"transferencia de dius madrid + delegaciones, concepto recibo de nomina.",1430.17,transferencia de dius madrid + delegaciones concepto recibo de nomina,ingreso,2024-07,Ingreso,manual
2024-07-30,"en quinta cumbre a, las palmas de, . :*179057",10.2,en quinta cumbre a las palmas de,gasto,2024-07,Restauración,manual
2024-07-29,"en los charcones p, arucas, . :*179057",3.0,en los charcones p arucas,gasto,2024-07,Restauración,manual
2024-07-29,"en mercadona banad, arucas, . :*179057",1.95,en mercadona banad arucas,gasto,2024-07,Supermercado,manual
2024-07-29,"en viveres pedro, arucas, . :*179057",3.4,en viveres pedro arucas,gasto,2024-07,Compras no esenciales,modelo
2024-07-29,"en el roque, telde, . :*179057",25.9,en el roque telde,gasto,2024-07,Supermercado,modelo
2024-07-29,"en hd melenara, telde, . :*179057",110.36,en hd melenara telde,gasto,2024-07,Gastos extraordinarios,modelo
2024-07-29,"en mc donald las t, hornos del re, . :*179057",5.82,en mc donald las t hornos del re,gasto,2024-07,Restauración,manual
2024-07-29,"en artesiete las t, hornos del re, . :*179057",4.5,en artesiete las t hornos del re,gasto,2024-07,Ocio / Suscripciones,manual
2024-07-29,"en artesiete las t, hornos del re, . :*179057",8.4,en artesiete las t hornos del re,gasto,2024-07,Ocio / Suscripciones,manual
2024-07-29,"en druni,s.a, telde, . :*179057",17.33,en druni s a telde,gasto,2024-07,Compras no esenciales,manual
2024-07-29,bizum de debora vega ravelo concepto .,20.0,bizum de debora vega ravelo concepto,ingreso,2024-07,Ingreso,manual
2024-07-26,"compra spotify p2df9345d7, stockholm, eta 5489010358179057 , comision 0,00",14.99,compra spotify pdfd stockholm eta comision,gasto,2024-07,Ocio / Suscripciones,manual
2024-07-26,"compra playstation network, hilversum, eta 5489010358179057 , comision 0,00",2.25,compra playstation network hilversum eta comision,gasto,2024-07,Compras no esenciales,manual
2024-07-26,"compra llaollao es las palmas, las palmas, eta 5489010358179057 , comision 0,00",4.4,compra llaollao es las palmas las palmas eta comision,gasto,2024-07,Restauración,manual
2024-07-26,bizum a favor de juan ayoze gonzalez perez concepto: factura 12890,257.44,bizum a favor de juan ayoze gonzalez perez concepto factura,gasto,2024-07,Gastos extraordinarios,manual
2024-07-25,"en picoteo s. migu, telde, . :*179057",41.2,en picoteo s migu telde,gasto,2024-07,Gastos extraordinarios,manual
2024-07-24,"transferencia de evelymar bastidas rosario, concepto seguro julio.",74.38,transferencia de evelymar bastidas rosario concepto seguro julio,ingreso,2024-07,Ingreso,manual
2024-07-24,"transferencia de evelymar bastidas rosario, concepto movil julio.",15.0,transferencia de evelymar bastidas rosario concepto movil julio,ingreso,2024-07,Ingreso,manual
2024-07-24,"transferencia de evelymar bastidas rosario, concepto regalo cumpleanos 2/2.",300.0,transferencia de evelymar bastidas rosario concepto regalo cumpleanos,ingreso,2024-07,Ingreso,manual
2024-07-24,recibo gym canarias sl - fp telde - las terraza nº recibo 0049 6140 755 bbfwmhh ref. mandato rumfic4,30.0,recibo gym canarias sl fp telde las terraza nº recibo bbfwmhh ref mandato rumfic,gasto,2024-07,Facturas,manual
2024-07-23,"en mercadona las t, hornos del re, . :*179057",1.85,en mercadona las t hornos del re,gasto,2024-07,Supermercado,manual
2024-07-22,"compra apple.com/bill, 900812703, eta 5489010358179057 , comision 0,00",22.99,compra apple com bill eta comision,gasto,2024-07,Ocio / Suscripciones,manual
2024-07-19,"en lidl can-gc-tel, llanos de la, . :*179057",37.16,en lidl can gc tel llanos de la,gasto,2024-07,Supermercado,manual
2024-07-19,"en stadio sport, jinamar, . :*179057",11.95,en stadio sport jinamar,gasto,2024-07,Compras no esenciales,modelo
2024-07-19,ingreso en efectivo de gomez bastidas oscar alejandro en suc. 0049 0520,210.0,ingreso en efectivo de gomez bastidas oscar alejandro en suc,ingreso,2024-07,Ingreso,modelo
2024-07-18,"compra h m, jinamar, eta 5489010358179057 , comision 0,00",12.99,compra h m jinamar eta comision,gasto,2024-07,Compras no esenciales,modelo
2024-07-18,"compra h m, jinamar, eta 5489010358179057 , comision 0,00",22.99,compra h m jinamar eta comision,gasto,2024-07,Compras no esenciales,modelo
2024-07-18,"en kobe express, telde, . :*179057",7.7,en kobe express telde,gasto,2024-07,Supermercado,modelo
2024-07-18,"compra internet en repsol waylet, madrid, . :*179057",19.21,compra internet en repsol waylet madrid,gasto,2024-07,Transporte,manual
2024-07-18,bizum a favor de debora vega ravelo concepto: viaje,110.0,bizum a favor de debora vega ravelo concepto viaje,gasto,2024-07,Transferencia personal,manual
2024-07-18,"en mercadona las t, hornos del re, . :*179057",10.55,en mercadona las t hornos del re,gasto,2024-07,Supermercado,manual
2024-07-17,bizum a favor de juan miguel viera rodriguez concepto: comida tifa,23.3,bizum a favor de juan miguel viera rodriguez concepto comida tifa,gasto,2024-07,Transferencia personal,manual
2024-07-17,"recibo vodafone factura: yj24-001101962/ nº recibo 0049 6140 755 bbfwjsp ref. mandato 0111207734, de",74.95,recibo vodafone factura yj nº recibo bbfwjsp ref mandato de,gasto,2024-07,Facturas,manual
2024-07-16,"en primor el mirad, las palmas de, . :*179057",18.75,en primor el mirad las palmas de,gasto,2024-07,Compras no esenciales,manual
2024-07-16,"en primor el mirad, las palmas de, . :*179057",28.48,en primor el mirad las palmas de,gasto,2024-07,Compras no esenciales,manual
2024-07-16,"en mercadona las t, hornos del re, . :*179057",5.3,en mercadona las t hornos del re,gasto,2024-07,Supermercado,manual
2024-07-16,"en las terrazas tp, telde, . :*179057",11.14,en las terrazas tp telde,gasto,2024-07,Supermercado,modelo
2024-07-16,bizum de debora vega ravelo concepto vicios,11.95,bizum de debora vega ravelo concepto vicios,ingreso,2024-07,Ingreso,manual
2024-07-15,"en el roque, telde, . :*179057",5.9,en el roque telde,gasto,2024-07,Supermercado,modelo
2024-07-15,"en mercadona las t, hornos del re, . :*179057",8.7,en mercadona las t hornos del re,gasto,2024-07,Supermercado,manual
2024-07-15,"en mercadona las t, hornos del re, . :*179057",12.23,en mercadona las t hornos del re,gasto,2024-07,Supermercado,manual
2024-07-15,"devolucion compra en hotel casablanc, puerto rico, . :*179057",150.0,devolucion compra en hotel casablanc puerto rico,ingreso,2024-07,Gastos extraordinarios,modelo
2024-07-15,"compra internet en repsol waylet, madrid, . :*179057",14.4,compra internet en repsol waylet madrid,gasto,2024-07,Transporte,manual
2024-07-15,"en di un gelato, s bartolome t, . :*179057",7.8,en di un gelato s bartolome t,gasto,2024-07,Restauración,manual
2024-07-15,"en taj lavdi, las palmas, . :*179057",24.5,en taj lavdi las palmas,gasto,2024-07,Transporte,modelo
2024-07-12,"en hotel casablanc, puerto rico, . :*179057",150.0,en hotel casablanc puerto rico,gasto,2024-07,Gastos extraordinarios,modelo
2024-07-12,"en hde c.c. bahia, palmas de gra, . :*179057",4.25,en hde c c bahia palmas de gra,gasto,2024-07,Restauración,modelo
2024-07-11,"transferencia de trade republic bank gmbh, concepto your puk is su7eh4. please keep. no transfer to",0.01,transferencia de trade republic bank gmbh concepto your puk is sueh please keep no transfer to,ingreso,2024-07,Ingreso,manual
2024-07-11,"compra internet en repsol waylet, madrid, . :*179057",9.6,compra internet en repsol waylet madrid,gasto,2024-07,Transporte,manual
2024-07-11,"en alcampo telde, telde, . :*179057",2.39,en alcampo telde telde,gasto,2024-07,Supermercado,manual
2024-07-11,"en alcampo telde, telde, . :*179057",45.02,en alcampo telde telde,gasto,2024-07,Supermercado,manual
2024-07-11,"en las terrazas tp, telde, . :*179057",1.85,en las terrazas tp telde,gasto,2024-07,Supermercado,modelo
2024-07-10,bizum a favor de debora vega ravelo concepto: compra,23.0,bizum a favor de debora vega ravelo concepto compra,gasto,2024-07,Transferencia personal,manual
2024-07-10,"en 2834 tb metropo, madrid, . :*179057",11.45,en tb metropo madrid,gasto,2024-07,Restauración,manual
2024-07-09,"compra playstation network, hilversum, eta 5489010358179057 , comision 0,00",8.99,compra playstation network hilversum eta comision,gasto,2024-07,Compras no esenciales,manual
2024-07-09,"en el roque, telde, . :*179057",20.03,en el roque telde,gasto,2024-07,Supermercado,modelo
2024-07-09,"en jack jones las, las palmas de, . :*179057",4.57,en jack jones las las palmas de,gasto,2024-07,Restauración,modelo
2024-07-08,"en llao llao las c, palmas (las), . :*179057",8.8,en llao llao las c palmas las,gasto,2024-07,Restauración,modelo
2024-07-05,"compra apple.com/bill, 900812703, eta 5489010358179057 , comision 0,00",3.49,compra apple com bill eta comision,gasto,2024-07,Ocio / Suscripciones,manual
2024-07-05,"compra internet en repsol waylet, madrid, . :*179057",30.0,compra internet en repsol waylet madrid,gasto,2024-07,Transporte,manual
2024-07-05,"en 2834 tb metropo, madrid, . :*179057",24.55,en tb metropo madrid,gasto,2024-07,Restauración,manual
2024-07-04,bizum a favor de eduardo jesus vega cabello concepto: viaje,171.0,bizum a favor de eduardo jesus vega cabello concepto viaje,gasto,2024-07,Gastos extraordinarios,manual
2024-07-04,transferencia a favor de óscar gómez bastidas concepto: julio,200.0,transferencia a favor de óscar gómez bastidas concepto julio,gasto,2024-07,Gastos extraordinarios,manual
2024-07-04,transferencia a favor de equito app s.l. concepto: 16652,100.0,transferencia a favor de equito app s l concepto,gasto,2024-07,Transferencia personal,manual
2024-07-03,"transferencia de gomez bastidas oscar alejandro, .",8.05,transferencia de gomez bastidas oscar alejandro,ingreso,2024-07,Ingreso,manual
2024-07-03,"compra ryanair rhj0, k67x452, eta 5489010358179057 , comision 0,00",26.99,compra ryanair rhj kx eta comision,gasto,2024-07,Ocio / Suscripciones,modelo
2024-07-03,"compra apple.com/bill, 900812703, eta 5489010358179057 , comision 0,00",8.99,compra apple com bill eta comision,gasto,2024-07,Ocio / Suscripciones,manual
2024-07-03,traspaso: ahorro hucha objetivo: regalo,6.65,traspaso ahorro hucha objetivo regalo,gasto,2024-07,Transferencia personal,manual
2024-07-02,traspaso: ahorro hucha objetivo: regalo,1.4,traspaso ahorro hucha objetivo regalo,gasto,2024-07,Transferencia personal,manual
2024-07-02,bizum de debora vega ravelo concepto compra,57.4,bizum de debora vega ravelo concepto compra,ingreso,2024-07,Ingreso,manual
2024-07-02,"transferencia de trade republic bank gmbh, concepto tu retirada de la cuenta de compensacion de trad",600.0,transferencia de trade republic bank gmbh concepto tu retirada de la cuenta de compensacion de trad,ingreso,2024-07,Ingreso,manual
2024-07-02,"transferencia de evelymar bastidas rosario, concepto diferencia seguro medico julio",8.41,transferencia de evelymar bastidas rosario concepto diferencia seguro medico julio,ingreso,2024-07,Ingreso,manual
2024-07-01,"compra rewe bell ohg, blankenheim, eta 5489010358179057 , comision 0,00",2.28,compra rewe bell ohg blankenheim eta comision,gasto,2024-07,Ocio / Suscripciones,modelo
2024-07-01,"compra total service station, koeln, eta 5489010358179057 , comision 0,00",7.62,compra total service station koeln eta comision,gasto,2024-07,Ocio / Suscripciones,modelo
2024-07-01,"compra linke hans-peter, koeln, eta 5489010358179057 , comision 0,00",14.95,compra linke hans peter koeln eta comision,gasto,2024-07,Ocio / Suscripciones,modelo
2024-07-01,"compra c.woellhaf gastroserv., koeln, eta 5489010358179057 , comision 0,00",8.5,compra c woellhaf gastroserv koeln eta comision,gasto,2024-07,Ocio / Suscripciones,modelo
2024-07-01,"en lidl can-gc-tel, llanos de la, . :*179057",44.63,en lidl can gc tel llanos de la,gasto,2024-07,Supermercado,manual
2024-07-01,"en hd melenara, telde, . :*179057",48.37,en hd melenara telde,gasto,2024-07,Supermercado,modelo
2024-07-01,"en las terrazas tp, telde, . :*179057",5.2,en las terrazas tp telde,gasto,2024-07,Supermercado,modelo
2024-07-01,bizum a favor de juan ayoze gonzalez perez concepto: correa y revisión,549.56,bizum a favor de juan ayoze gonzalez perez concepto correa y revisión,gasto,2024-07,Gastos extraordinarios,manual
2024-07-01,"recibo sanitas s a de seguros nº recibo 0049 6140 755 bbfvrms ref. mandato 800014242109, de",74.38,recibo sanitas s a de seguros nº recibo bbfvrms ref mandato de,gasto,2024-07,Facturas,manual
2024-07-01,"en artesiete las t, hornos del re, . :*179057",13.0,en artesiete las t hornos del re,gasto,2024-07,Ocio / Suscripciones,manual
2024-07-01,"en 2834 tb metropo, madrid, . :*179057",24.96,en tb metropo madrid,gasto,2024-07,Restauración,manual
2024-07-01,bizum de maria adelina barrios barrios concepto viaje,73.0,bizum de maria adelina barrios barrios concepto viaje,ingreso,2024-07,Ingreso,manual
2024-07-01,"transferencia de gomez bastidas oscar alejandro, concepto m.",19.97,transferencia de gomez bastidas oscar alejandro concepto m,ingreso,2024-07,Ingreso,manual
2024-07-01,bizum de debora vega ravelo concepto viaje,48.85,bizum de debora vega ravelo concepto viaje,ingreso,2024-07,Ingreso,manual
2024-07-01,"en lidl can-gc-tel, telde, . :*179057",26.55,en lidl can gc tel telde,gasto,2024-07,Supermercado,manual
2024-07-01,traspaso: ahorro hucha objetivo: regalo,15.1,traspaso ahorro hucha objetivo regalo,gasto,2024-07,Transferencia personal,manual
2024-06-28,"compra porta nigra, trier, eta 5489010358179057 , comision 0,00",14.0,compra porta nigra trier eta comision,gasto,2024-06,Ocio / Suscripciones,modelo
2024-06-28,traspaso: ahorro hucha objetivo: regalo,0.8,traspaso ahorro hucha objetivo regalo,gasto,2024-06,Transferencia personal,manual
2024-06-28,"transferencia de dius madrid + delegaciones, concepto recibo de nomina.",1510.66,transferencia de dius madrid + delegaciones concepto recibo de nomina,ingreso,2024-06,Ingreso,manual
2024-06-27,"compra agip service-station, feucht, eta 5489010358179057 , comision 0,00",3.19,compra agip service station feucht eta comision,gasto,2024-06,Ocio / Suscripciones,modelo
2024-06-27,"compra total service station, kirchheim, eta 5489010358179057 , comision 0,00",8.37,compra total service station kirchheim eta comision,gasto,2024-06,Ocio / Suscripciones,modelo
2024-06-27,"transferencia de evelymar bastidas rosario, concepto movil junio",15.0,transferencia de evelymar bastidas rosario concepto movil junio,ingreso,2024-06,Ingreso,manual
2024-06-27,"transferencia de evelymar bastidas rosario, concepto seguro medico",65.97,transferencia de evelymar bastidas rosario concepto seguro medico,ingreso,2024-06,Ingreso,manual
2024-06-26,"compra max rischarts backhau, muenchen, eta 5489010358179057 , comision 0,00",2.95,compra max rischarts backhau muenchen eta comision,gasto,2024-06,Ocio / Suscripciones,modelo
2024-06-26,"compra starbucks 53094 rosent, muenchen, eta 5489010358179057 , comision 0,00",4.95,compra starbucks rosent muenchen eta comision,gasto,2024-06,Ocio / Suscripciones,modelo
2024-06-26,"compra max rischarts backhau, muenchen, eta 5489010358179057 , comision 0,00",5.4,compra max rischarts backhau muenchen eta comision,gasto,2024-06,Ocio / Suscripciones,modelo
2024-06-26,"compra munchener natursaft, muenchen, eta 5489010358179057 , comision 0,00",7.2,compra munchener natursaft muenchen eta comision,gasto,2024-06,Ocio / Suscripciones,modelo
2024-06-26,"compra spotify p2d361d489, stockholm, eta 5489010358179057 , comision 0,00",14.99,compra spotify pdd stockholm eta comision,gasto,2024-06,Ocio / Suscripciones,manual
2024-06-26,recibo gym canarias sl - fp telde - las terraza nº recibo 0049 6140 755 bbfvrbl ref. mandato rumfic4,30.0,recibo gym canarias sl fp telde las terraza nº recibo bbfvrbl ref mandato rumfic,gasto,2024-06,Facturas,manual
2024-06-25,"compra münchner verkehrsgesel, münchen, eta 5489010358179057 , comision 0,00",37.4,compra münchner verkehrsgesel münchen eta comision,gasto,2024-06,Gastos extraordinarios,modelo
2024-06-24,"compra ryanair rhj0, k67ny94, eta 5489010358179057 , comision 0,00",70.0,compra ryanair rhj kny eta comision,gasto,2024-06,Gastos extraordinarios,modelo
2024-06-24,"compra sumup *aupa che, berlin, eta 5489010358179057 , comision 0,00",5.0,compra sumup aupa che berlin eta comision,gasto,2024-06,Restauración,manual
2024-06-24,"compra heidenpeters brauerei, berlin, eta 5489010358179057 , comision 0,00",4.0,compra heidenpeters brauerei berlin eta comision,gasto,2024-06,Ocio / Suscripciones,modelo
2024-06-24,"compra ullrich berlin-mitte, berlin, eta 5489010358179057 , comision 0,00",4.39,compra ullrich berlin mitte berlin eta comision,gasto,2024-06,Restauración,modelo
2024-06-24,"compra zettle_*rosa canina gm, berlin, eta 5489010358179057 , comision 0,00",4.8,compra zettle rosa canina gm berlin eta comision,gasto,2024-06,Ocio / Suscripciones,modelo
2024-06-24,"compra cinnamood, monheim am rh, eta 5489010358179057 , comision 0,00",9.1,compra cinnamood monheim am rh eta comision,gasto,2024-06,Ocio / Suscripciones,modelo
2024-06-24,"compra gate kebap, berlin, eta 5489010358179057 , comision 0,00",31.5,compra gate kebap berlin eta comision,gasto,2024-06,Gastos extraordinarios,modelo
2024-06-24,"compra s-bahn berlin gmbh, berlin, eta 5489010358179057 , comision 0,00",33.0,compra s bahn berlin gmbh berlin eta comision,gasto,2024-06,Restauración,modelo
